, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
0,1.0,0.0,0.0,0.0,0.0,0.0,0.532,0.478,0.738,0.8,0.52,0.41200000000000003
1,0.0,1.0,0.0,0.0,0.0,0.0,0.55,0.488,0.5720000000000001,0.41200000000000003,0.52,0.765
2,0.0,0.0,1.0,0.0,0.0,0.0,0.693,0.63,0.703,0.757,0.44,0.376
3,0.0,0.0,0.0,1.0,0.0,0.0,0.324,0.256,0.8,0.7559999999999999,0.36,0.271
4,0.0,0.0,0.0,0.0,1.0,0.0,0.327,0.307,0.43200000000000005,0.209,0.72,0.447
5,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.491,0.429,0.2,0.235
6,0.5,0.5,0.0,0.0,0.0,0.0,0.8,0.8,0.36,0.375,0.76,0.7290000000000001
7,0.5,0.0,0.5,0.0,0.0,0.0,0.652,0.594,0.7240000000000001,0.797,0.48,0.376
8,0.0,0.5,0.5,0.0,0.0,0.0,0.7509999999999999,0.721,0.45399999999999996,0.418,0.56,0.765
9,0.5,0.0,0.0,0.5,0.0,0.0,0.585,0.5870000000000001,0.439,0.46,0.64,0.376
10,0.0,0.5,0.0,0.5,0.0,0.0,0.627,0.574,0.564,0.473,0.56,0.7290000000000001
11,0.0,0.0,0.5,0.5,0.0,0.0,0.68,0.638,0.563,0.5539999999999999,0.6,0.518
12,0.5,0.0,0.0,0.0,0.5,0.0,0.536,0.511,0.48200000000000004,0.396,0.64,0.5529999999999999
13,0.0,0.5,0.0,0.0,0.5,0.0,0.456,0.44299999999999995,0.4,0.218,0.48,0.8
14,0.0,0.0,0.5,0.0,0.5,0.0,0.561,0.539,0.45799999999999996,0.364,0.64,0.518
15,0.0,0.0,0.0,0.5,0.5,0.0,0.298,0.266,0.55,0.415,0.52,0.341
16,0.5,0.0,0.0,0.0,0.0,0.5,0.43,0.474,0.35700000000000004,0.41600000000000004,0.6,0.341
17,0.0,0.5,0.0,0.0,0.0,0.5,0.605,0.612,0.374,0.344,0.56,0.6940000000000001
18,0.0,0.0,0.5,0.0,0.0,0.5,0.527,0.544,0.426,0.462,0.44,0.48200000000000004
19,0.0,0.0,0.0,0.5,0.0,0.5,0.349,0.35600000000000004,0.515,0.537,0.36,0.306
20,0.0,0.0,0.0,0.0,0.5,0.5,0.312,0.31,0.40299999999999997,0.24,0.4,0.341
21,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,0.7859999999999999,0.76,0.47200000000000003,0.49200000000000005,0.64,0.765
22,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,0.74,0.7390000000000001,0.365,0.355,0.72,0.5529999999999999
23,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.0,0.0,0.652,0.625,0.535,0.562,0.64,0.306
24,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,0.747,0.7120000000000001,0.467,0.414,0.64,0.659
25,0.33299999999999996,0.33299999999999996,0.0,0.0,0.33299999999999996,0.0,0.57,0.581,0.34,0.252,0.68,0.6940000000000001
26,0.33299999999999996,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,0.6679999999999999,0.621,0.565,0.5429999999999999,0.56,0.588
27,0.0,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,0.0,0.5670000000000001,0.562,0.379,0.267,0.56,0.624
28,0.33299999999999996,0.0,0.0,0.33299999999999996,0.33299999999999996,0.0,0.474,0.48200000000000004,0.375,0.293,0.6,0.447
29,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.0,0.461,0.43,0.486,0.337,0.56,0.588
30,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.527,0.514,0.43,0.335,0.56,0.624
31,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,0.33299999999999996,0.6779999999999999,0.746,0.2,0.276,0.76,0.518
32,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,0.33299999999999996,0.513,0.525,0.46,0.511,0.44,0.41200000000000003
33,0.0,0.33299999999999996,0.33299999999999996,0.0,0.0,0.33299999999999996,0.753,0.755,0.369,0.377,0.56,0.588
34,0.33299999999999996,0.0,0.0,0.33299999999999996,0.0,0.33299999999999996,0.47100000000000003,0.512,0.325,0.33899999999999997,0.52,0.48200000000000004
35,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,0.33299999999999996,0.613,0.621,0.377,0.35600000000000004,0.48,0.5529999999999999
36,0.0,0.0,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,0.619,0.609,0.465,0.46399999999999997,0.48,0.41200000000000003
37,0.33299999999999996,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.526,0.552,0.348,0.33899999999999997,0.64,0.48200000000000004
38,0.0,0.33299999999999996,0.0,0.0,0.33299999999999996,0.33299999999999996,0.525,0.524,0.358,0.215,0.44,0.6940000000000001
39,0.0,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.542,0.57,0.33799999999999997,0.33399999999999996,0.52,0.41200000000000003
40,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.295,0.281,0.525,0.45799999999999996,0.28,0.2
41,0.25,0.25,0.25,0.25,0.0,0.0,0.78,0.753,0.457,0.457,0.64,0.5529999999999999
42,0.25,0.25,0.25,0.0,0.25,0.0,0.679,0.665,0.415,0.363,0.68,0.765
43,0.25,0.25,0.0,0.25,0.25,0.0,0.5820000000000001,0.5820000000000001,0.365,0.263,0.64,0.659
44,0.25,0.0,0.25,0.25,0.25,0.0,0.599,0.58,0.469,0.435,0.52,0.447
45,0.0,0.25,0.25,0.25,0.25,0.0,0.595,0.568,0.44,0.315,0.56,0.6940000000000001
46,0.25,0.25,0.25,0.0,0.0,0.25,0.7140000000000001,0.732,0.358,0.41200000000000003,0.6,0.588
47,0.25,0.25,0.0,0.25,0.0,0.25,0.6809999999999999,0.7290000000000001,0.239,0.27,0.56,0.7290000000000001
48,0.25,0.0,0.25,0.25,0.0,0.25,0.601,0.613,0.43200000000000005,0.49200000000000005,0.48,0.376
49,0.0,0.25,0.25,0.25,0.0,0.25,0.721,0.718,0.392,0.385,0.68,0.659
50,0.25,0.25,0.0,0.0,0.25,0.25,0.6459999999999999,0.7,0.207,0.2,0.8,0.7290000000000001
51,0.25,0.0,0.25,0.0,0.25,0.25,0.599,0.603,0.415,0.415,0.64,0.624
52,0.0,0.25,0.25,0.0,0.25,0.25,0.649,0.665,0.312,0.258,0.64,0.6940000000000001
53,0.25,0.0,0.0,0.25,0.25,0.25,0.48200000000000004,0.528,0.275,0.24600000000000002,0.56,0.41200000000000003
54,0.0,0.25,0.0,0.25,0.25,0.25,0.534,0.53,0.396,0.301,0.48,0.518
55,0.0,0.0,0.25,0.25,0.25,0.25,0.525,0.544,0.359,0.321,0.56,0.447
56,0.2,0.2,0.2,0.2,0.2,0.0,0.687,0.6729999999999999,0.402,0.34600000000000003,0.68,0.624
57,0.2,0.2,0.2,0.2,0.0,0.2,0.73,0.7440000000000001,0.35,0.379,0.56,0.5529999999999999
58,0.2,0.2,0.2,0.0,0.2,0.2,0.685,0.7070000000000001,0.32299999999999995,0.32899999999999996,0.64,0.7290000000000001
59,0.2,0.2,0.0,0.2,0.2,0.2,0.596,0.632,0.26,0.204,0.72,0.7290000000000001
60,0.2,0.0,0.2,0.2,0.2,0.2,0.613,0.631,0.36,0.369,0.52,0.41200000000000003
61,0.0,0.2,0.2,0.2,0.2,0.2,0.636,0.634,0.36200000000000004,0.27699999999999997,0.6,0.8
62,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.693,0.716,0.29600000000000004,0.285,0.68,0.8
